distance_plan_m,easting_epsg25832,northing_epsg25832,raw_dgm_nhn_m,model_nhn_m,bridge_estimated
767.95481,353629.72816,5578199.35764,586.25362,586.25031,0.00000
769.95469,353627.98472,5578200.33644,586.21732,586.21766,0.00000
771.95457,353626.24092,5578201.31461,586.18249,586.18465,0.00000
773.95446,353624.49667,5578202.29200,586.15414,586.15264,0.00000
775.95434,353622.75188,5578203.26846,586.12310,586.11800,0.00000
777.95422,353621.00647,5578204.24386,586.07647,586.07924,0.00000
779.95410,353619.26035,5578205.21805,586.04170,586.03832,0.00000
781.95399,353617.51344,5578206.19087,586.00030,585.99131,0.00000
783.95387,353615.76565,5578207.16218,585.93134,585.93784,0.00000
785.95375,353614.01689,5578208.13184,585.88403,585.88693,0.00000
787.95363,353612.26708,5578209.09969,585.84439,585.83883,0.00000
789.95352,353610.51613,5578210.06560,585.78610,585.78853,0.00000
791.95340,353608.76395,5578211.02940,585.73818,585.73716,0.00000
793.95328,353607.01047,5578211.99097,585.68791,585.68411,0.00000
795.95316,353605.25558,5578212.95015,585.62476,585.62926,0.00000
797.95305,353603.49922,5578213.90679,585.57779,585.57547,0.00000
799.95293,353601.74129,5578214.86074,585.52210,585.52124,0.00000
801.95281,353599.98170,5578215.81187,585.46425,585.46670,0.00000
803.95269,353598.22037,5578216.76002,585.41213,585.41530,0.00000
805.95257,353596.45722,5578217.70505,585.36914,585.36682,0.00000
807.95246,353594.69215,5578218.64681,585.31830,585.31726,0.00000
809.95234,353592.92508,5578219.58515,585.26699,585.26557,0.00000
811.95222,353591.15590,5578220.51985,585.20691,585.21629,0.00000
813.95210,353589.38352,5578221.44850,585.17709,585.17248,0.00000
815.95199,353587.60582,5578222.36623,585.13107,585.12650,0.00000
817.95187,353585.82060,5578223.26806,585.07646,585.07279,0.00000
819.95175,353584.02568,5578224.14900,585.01259,585.01307,0.00000
821.95163,353582.21885,5578225.00405,584.95515,584.94850,0.00000
